00-00	VSOBECNA DEKLARACIA LUDSKYCH PRAV
00-01	Vo vedomi ze uznanie prirodzenej dostojnosti a rovnych a neodcudzite lnych prav clenov ludskej rodiny je zakladom slobody, spravodlivosti a mieru na svete,
00-02	ze zneuznanie ludskych prav a pohrdanie nimi viedlo k barbarskym cinom, ktore urazaju svedomie ludstva, a ze vybudovanie sveta, v ktorom ludia, zbaveni strachu a nudze, budu sa tesit slobode prejavu a presvedcenia, bolo vyhlasene za najvyssi ciel ludu,
00-03	ze je nutne, aby sa ludsk prava chranily zakonom, ak nema byt clovek donutey uchylit sa, ked vsetko ostatne zlyhalo, k odboju proti tyranii a utlaku,
00-04	ze je nutne podporovat rozvoj priatelskych vztahov medzi narodmi,
00-05	ze lud Spojenych narodov zdoraznil v Charte znovu svoju vieru v zakladne ludske prava, v dostojnost a hodnotu ludskej osobnosti, v rovnake prava muzov a zien a ze sa rozhodol podporovat socialny pokrok a vytvorit lepsie zivotne podmienky za vacsej slobody,
00-06	ze clenske staty prevzaly zavazok zaistit v spolupraci s Organizaciou Spojeych narodov vseobecne uznavanie a zachovavanie ludskych prav a zakladyych slobod a
00-07	ze rovnake chapanie tychto prav a slobod ma nesmierny vyznam pre dokonale splnenie tohto zavazku,
00-08	vyhlasuje
00-09	VALNE SHROMAZDENIE
00-10	tuto vseobecnu deklaraciu ludskych prav ako spolocny ciel pre vsetky narody a vsetky staty, aby sa kazdy jednotlivec a kazdy organ spolocnosti, majuc tuto deklaraciu stale na mysli, snazil vyucovanim a vychovou rozsirit uctu k tymto pravam a slobodam a zaistit postupnymi opatreniami vnutrostatnymi i medzinarodnymi ich vseobecne a ucinne uznavanie a zachovavanie ako medzi ludom clenskych statov samych, tak medzi ludom uzemi , ktore su pod ich pravomocou.
01-00	Clanok 1.
01-01	Vsetci ludia sa rodia slobodni a sebe rovni , co sa tyka ich dostojnosti a prav. Su obdareni rozumom a maju navzajom jednat v bratskom duchu.
02-00	Clanok 2.
02-01	Kazdy ma vsetky prava a vsetky slobody, vyhlasene v tejto deklaracii, bez hociakeho rozlisovania najma pod la rasy, farby, pohlavia, jazyka, nabozenstva, politickeho alebo ineho smyslania, narodnostneho alebo socialneho povodu, majetku, rodu alebo ineho postavenia
02-02	Ziaden rozdiel sa nebude robit na podklade politickeho, pravneho alebo nedzinarodneho postavenia krajiny alebo uzemia, ku ktoremu osoba pri slusi, ci je to krajina alebo uzemie nezavisle alebo pod porucenstvom, nesamospravne alebo podrobene hociakemu inemu obmedzeniu suverenity.
03-00	Clanok 3.
03-01	Kazdy ma pravo na zivot, slobodu a osobnu bezpecnost.
04-00	Clanok 4.
04-01	Nikto sa nesmie drzat v otroctve alebo v nevolnictve: vsetky formy otroctva a obchodu s otrokmi su zakazane.
05-00	Clanok 5.
05-01	Nikto nesmie byt muceny alebo podrobeny krutemu, neludskemu alebo ponizujucemu zaobchadzaniu alebo trestu.
06-00	Clanok 6.
06-01	Kazdy ma pravo, aby bola vsade uznavana jeho pravna osobnost.
07-00	Clanok 7.
07-01	Vsetci su si pred zakonom rovni a maju pravo na rovnaku ochranu zakona bez hociakeho rozlisovania. Vsetci maju pravo na rovnaku ochranu proti hociakej diskriminacii, ktora porusuje tuto deklaraciu, a proti kazdemu podnucovaniu k takej diskriminacii.
08-00	Clanok 8.
08-01	Kazdy ma pravo, aby mu prislusne vnutrostatne sudy poskytly ucinnu ochranu proti cinom porusujucim zckladne prava, ktore su mu priznavane ustavou alebo zakonom.
09-00	Clanok 9.
09-01	Nikto nesmie byt svojvolne zatknuty, drzany vo vazbe alebo vyhnany do vyhnanstva.
10-00	Clanok 10.
10-01	Kazdy ma uplne rovnake pravo, aby bol spravodlive a verejne vypocuty nezavislym a nestrannym sudom, ktory rozhoduje o jeho pravach a povinnostiach a o kazdom trestnom obvineni, vznesenom proti nemu.
11-00	Clanok 11.
11-00	Kazdy, kto je obvineny z trestneho cinu, povazuje se za nevinneho, dokial nie je zakonnym postupom dokazana jeho vina vo verejnom pokracovani, pri ktorom mal zaistene vsetky moznosti obhajoby.
11-01	Nikto nesmie byt odsudeny pre cin alebo opomenutia, ktore v case, ked' boly spachane, neboly trestne podla statneho alebo medzinarodneho prava. Rovnako nesmie byt ulozeny tazsi trest nez trest, ktory mohol byt ulozeny v case, ke trestny cin bol spachany.
12-00	Clanok 12.
12-01	Nikto nesmie byt vystaveny svojvolnemu zasahovaniu do sukromneho zivota, rodiny, domova alebo korespondencie, ani utokom na svoju cest a povest. Kazdy ma pravo na zakonnu ochranu proti takymto zasahom alebo utokom.
13-00	Clanok 13.
13-00	(1) Kazdy ma pravo volne sa pohybovat a slobodne si zvolit bydlisko v tom - ktorom state.
13-01	(2) Kazdy ma pravo opustit hociktoru krajinu, i svoju vlastnu, a vratit sa do svojej krajiny.
14-00	Clanok 14.
14-00	Kazdy ma pravo vyhladat si pred prenasledovanim utociste v inych krajinach a pozivat tam azyl.
14-01	Toto pravo nemozno uplatnovat v pripade stihania na ozaj odovodneneho nepolitickymi zlocinmi alebo cinmi, ktore su v rozpore s cielami a zasadami Spojenych narodov.
15-00	Clanok 15.
15-00	Kazdy ma pravo na statnu prislusnost.
15-01	Nikto nesmie byt svojvolne zbaveny svojej statnej prislusnosti, ani prava svoju statnu prislusnost zmienit.
16-00	Clanok 16.
16-00	Muzi a zeny, ak dosiahli plnoletost, maju pravo bez hociakeho obmedzenia z dovodov rasovej, narodnostei alebo nabozenskej prislusnosti uzavriet manzelstvo a zalozit rodinu. Co sa manzelstva tyka, maju pocas jeho trvania i pri jeho rozluceni rovnake prava.
16-01	Manzelstva mozu byt uzavrene len so slobodnym a plnym suhlasom nastavajucich manzelov.
16-02	Rodina je prirodzenou a zakladnou jednotkou spolocnosti a ma narok na ochranu so strany spolocnosti statu.
17-00	Clanok 17.
17-00	Kazdy ma pravo vlastnit majetok ako sam, tak spolu s inymi.
17-01	Nikto nesmie byt svojvolne zbaveny svojho majetku.
18-00	Clanok 18.
18-01	Kazdy ma pravo na slobodu myslenia, svedomia a nabozenstva; toto pravo obsahuje aj volnost zmenit nabozenstvo alebo vieru, ako i slobodu prejavovat svoje nabozenstvo alebo vieru, sam alebo spolecne s inymi, ci uz verejne alebo sukromne, vyucovanim, vykonavanim nabozenskych ukonov, bohosluzbou a zachovavanim obradov.
19-00	Clanok 19.
19-01	Kazdy ma pravo na slobodu presvedcenia a prejavu: toto pravo nepripusta, aby niekto trpel ujmu pre svoje presvedcenie a zahrnuje pravo vyhladavat, prijimat a rozsirovat informacie a myslienky hociakymi prostriedkami a bez ohladu na hranice.
20-00	Clanok 20.
20-00	Kazdemu je zarucena sloboda pokojneho shromazdovania a sdruzovania sa.
20-01	Nikto nesmie byt nuteny, aby bol clenom nejakeho sdruzenia.
21-00	Clanok 21.
21-00	Kazdy ma pravo, aby sa ucastnil na vlade svojej krajiny bud priamo, alebo prostrednictvom slobodne volenych zastupcov.
21-01	Kazdy ma pravo vstupit za rovnakych podmienok do verejnych sluzieb svojej krajiny.
21-02	Vola ludu ma byt zakladom vladnej moci: tato vola musi byt vyjadrena spravne prevadzanymi volbami, ktore sa maju konat v pravidelnych obdobiach na zaklade vseobecneho a rovneho hlasovacieho prava tajnym hlasovanim alebo rovnocennym postupom, ktory zabezpecuje slobodu hlasovania.
22-00	Clanok 22.
22-01	Kazdy clovek ma ako clen spolocnosti pravo na socialne zabezpecenie a narok, aby mu boly narodnym usilim i medzinarodnou sucinnostou a v sulade s organizaciou a prostriedkami prislusneho statu zaistene hospodarske, socialne a kulturne prava, potrebne k jeho dostojnosti a k slobodnemu rozvoju jeho osobnosti.
23-00	Clanok 23.
23-00	Kazdy ma pravo na pracu, na slobodnu volbu zamestnania, na spravodlive a uspokojive pracovne podmienky a na ochranu proti nezamestnanosti.
23-01	Kazdy, bez hociakeho rozlisovania, ma narok na rovnaky plat za rovnaku pracu.
23-02	Kazdy pracujuci ma pravo na spravodlivu a dostacujucu odmenu, ktora by zaistovala jemu samemu a jeho rodine zivobytie odpovedajuce ludskej dostojnosti, a ktora by bola doplnena, keby toho bolo treba, inymi prostriedkami socialnej ochrany.
23-03	Kazdy ma pravo na ochranu svojich zaujmov zakladat s inymi odborove organizacie a pristupovat k nim.
24-00	Clanok 24.
24-01	Kazdy ma pravo na odpocinok a na zotavenie, zvlast aj na rozumne vymedzenie pracovnych hodin a na pravidelnu platenu dovolenku.
25-00	Clanok 25.
25-00	Kazdy ma pravo na taku zivotnu uroven, ktora moze zaistit jeho zdravie a blahobyt a zdravie jeho rodiny, pocitajuc v to menovite vyzivu, satenie, byvanie a lekarske osetrovanie, ako aj potrebne socialne opatrenia: ma pravo na zabezpecenie v nezamestnanosti, v nemoci, pri neschopnosti k praci, pri ovdoveni, v starobe alebo v inych pripadoch straty zarobkovych moznosti, ktore nastanu za okolnosti nezavislych ne jeho voli.
25-01	Materstvo a detstvo maju narok na zvlastnu strarostlivost a pomoc. Vsetky deti, ci manzelske alebo nemanzelske, pozivaju rovnaku socialnu ochranu.
26-00	Clanok 26.
26-00	Kazdy ma pravo na vzdelanie. Vzdelanie nech je bezplatne aspon v zaciatocnych a zakladnych stupnoch. Zakladne vzdelanie je povinne. Technicke a odborne vzdelanie nech je vseobecne pristupne a vyssie vzdelanie ma byt rovnako pristupne kazdemu podla jeho schopnosti.
26-01	Vzdelanie ma smerovat k plnemu rozvoju ludskej osobnosti a k posilneniu ucty k ludskym pravam a zakladnym slobodam. Ma napomahat k vzajomnemu porozumeniu, snasanlivosti a priatelstvu medzi vsetkymi narodmi a vsetkymi rasovymi i nabozenskymi skupinami, ako aj k rozvoju cinnosti Spojenych narodov pre zachovanie mieru.
26-02	Rodicia maju prednostne pravo volit druh vzdelania pre svoje deti.
27-00	Clanok 27.
27-00	Kazdy ma pravo slobodne sa ucastnit na kulturnom zivote spolocnosti, uzivat plodov umenia a ucastnit sa na vedeckom pokroku a jeho vytazkoch.
27-01	Kazdy ma pravo na ochranu moralnych a materialnych zaujmov, ktore vyplyvaju z jeho vedeckej, literarnej alebo umeleckej tvorby.
28-00	Clanok 28.
28-01	Kazdy ma pravo na to, aby vladol taky socialny a medzinarodny poriadok, v ktorom by prava a slobody vyhlasene v tejto deklaracii boly plne uplatnene.
29-00	Clanok 29.
29-00	Kazdy ma povinnost voci spolocnosti: jedine v nej moze slobodne a plne rozvinut svoju osobnost.
29-01	Vo vykone svojich prav a v uzivani svojich slobod je kazdy podrobeny iba takym obmedzeniam, ktore stanovi zakon a ktore sluzia vyhradne k zabezpeceniu naleziteho, uznavania a zachovavania prav a slobod inych, ako aj k uspokojeniu spravodlivych poziadaviek mravnosti, verejneho poriadku a obecneho blaha v demokratiskej spolocnosti.
29-02	Vykon tychto prav a slobod nesmie byt v ziadnom pripade v rozpore s cielami a zasadami Spojenych narodov.
30-00	Clanok 30.
30-01	V tejto deklaracii nic sa nesmie vykladat tak, aby opravnovalo ktorykolvek stat, skupinu, alebo osobu vyvijat cinnost alebo dopustat sa cinov, ktore by smerovaly k potlaceniu niektoreho z prav alebo slobod v tejto deklaracii vyhlasenych.
